Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00520841","FIGHTIN' NINTH POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00520841","GRIFFITH, H MORGAN","43555.46","31-MAR-26","129381.9","153000"
"C00927772","FIGHTING BACK ACTION FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00927772","","29.2","31-MAR-26","15.8","45"
"C00921924","MC-KEE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00921924","","0","31-MAR-26","10506","10506"
"C00927293","OPE! PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00927293","MCMORROW, MALLORY","0","31-MAR-26","0","0"
"C00829408","FIGHTING BACK PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00829408","PETTERSEN, BRITTANY LOUISE MS.","28457.79","31-MAR-26","138158.8","164557.1"
"C00492025","AMERICAN DEFENSE AND MILITARY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00492025","SMITH, D. ADAM","58177.6","31-MAR-26","96865.4","123000"
"C00524603","KEEP AMERICA ROLLING","http://docquery.fec.gov/cgi-bin/fecimg/?C00524603","KELLY, GEORGE J JR","39522.89","31-MAR-26","73435.9","71000"
"C00926329","GREEN ON TOP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00926329","MANNION, JOHN W","62409.76","31-MAR-26","22949.3","85359"
"C00724229","VICTORY EAST","http://docquery.fec.gov/cgi-bin/fecimg/?C00724229","MURPHY, GREGORY FRANCIS","21656.34","31-MAR-26","118560.9","124176.4"
"C00536540","JOBS, FREEDOM, AND SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00536540","","2458221.71","31-MAR-26","941162.8","801388.6"
"C00925305","JUST ELECT SUPER STARS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00925305","STEINMANN, JESSICA HART","1830.64","31-MAR-26","1768.8","3599.4"
